text,target
Liked Stanley & Iris very much. Acting was very good. Story had a unique and interesting arrangement. The absence of violence and porno sex was refreshing. Characters were very convincing and felt like you could understand their feelings. Very enjoyable movie.,1
"The production quality, cast, premise, authentic New England (Waterbury, CT?) locale and lush John Williams score should have resulted in a 3-4 star collectors item. Unfortunately, all we got was a passable 2 star ""decent"" flick, mostly memorable for what it tried to do.........bring an art house style film mainstream. The small town locale and story of ordinary people is a genre to itself, and if well done, will satisfy most grownups. Jane Fonda was unable to hide her braininess enough to make her character believable. I wondered why she wasn't doing a post doctorate at Yale instead of working in a dead end factory job in Waterbury. Robert DiNiro's character was just a bit too contrived. An illiterate, nice guy loser who turns out to actually be, with a little help from Jane's character, a 1990 version of Henry Ford or Thomas Edison.<br /><br />This genre has been more successfully handled by ""Nobody's Fool"" in the mid 90s and this year's (2003) ""About Schmidt."" I wish that the main stream studios would try more stuff for post adolescents and reserve a couple of screens at the multi cinema complexes for those efforts.<br /><br />I'll give it an ""A"" for effort.",1
"This film has a special place in my heart, as when I caught it the first time, I was teaching adult literacy. It rang very true to me and even an outstanding student I had at the time. There are scenes which make you gulp with sudden emotion, and those which even put a smile on your face through sheer identification with the characters and their situation. <br /><br />Excellent performances by Jane Fonda and Robert DeNiro that rank with their best work, a great turn by a young Martha Plimpton, an inspiring story line, and a haunting musical score makes for a most enjoyable and rewarding experience.",1
"I guess if a film has magic, I don't need it to be fluid or seamless. It can skip background information, go too fast in some places, too slow in others, etc. Magic in this film: the scene in the library. There are many minor flaws in Stanley & Iris, yet they don't detract from the overall positive impact of watching people help each other in areas of life that seem the most incomprehensible, the hardest to fix. Both characters are smart. Yet Stanley can't understand enough to function because he can't read; he can't read because he's had too much adventure in his childhood. Iris, although well-educated, hasn't had enough adventure and so can't understand how to move past the U-turn her life took. In both their faults and strengths, the characters compliment each other. It may be a bit of a stretch to accept that an Iris would wind up working year after year in a factory, or that a Stanley never hid his illiteracy enough to work in construction or some other better-paying job. And while these ""mysteries"" are explained in the course of the story, their unfolding seems somewhat contrived. I assume no one took the time to rethink the script. Even so, it's a good moviejust imagine what De Niro, Fonda and Plimpton would have done on screen if someone had!",1
"I found this to be a so-so romance/drama that has a nice ending and a generally nice feel to it. It's not a Hallmark Hall Of Fame-type family film with sleeping-before-marriage considered ""normal"" behavior but considering it stars Jane Fonda and Robert De Niro, I would have expected a lot rougher movie, at least language-wise. <br /><br />The most memorable part of the film is the portrayal of how difficult it must be to learn how to read and write when you are already an adult. That's the big theme of the movie and it involves some touching scenes but, to be honest, the film isn't that memorable.<br /><br />It's still a fairly mild, nice tale that I would be happy to recommend.",1
"This is a complex film that explores the effects of Fordist and Taylorist modes of industrial capitalist production on human relations. There are constant references to assembly line production, where workers are treated as cogs in a machine, overseen by managers wielding clipboards, controlling how much hair the workers leave exposed, and firing workers (Stanley) who meet all criteria (as his supervisor says, are always on time, are hard workers, do good work) but who may in some unspecified future make a mistake. <br /><br />This system destroys families - Stanley has to send his father to a nursing home (where he quickly dies) after Stanley loses his job. Iris' daughter is a single teen mother who drops out of high school to take a job in the plant. References are made to the fact that now, with declining wages, both partners need to work, the implication being that there's nobody left at home to care for the kids. Iris' husband is dead from an illness, and with the multiple references in the film about the costs of medical care, the viewer must wonder if he might have lived with better and more costly care. Iris' brother in law gets abusive after yet another unsuccessful day at the unemployment office when his wife yells at him for buying a beer with her savings instead of leaving it for her face lift and/or teeth job (even the working class with no stake in conventional bourgeois notions of perfection and beauty buy into them). The one reference to race in the film is through a black factory line worker whose husband is in jail (presumably, he's also black, and black men suffer disproportionally high incarceration rates). She remarks that he, like her, ""is doing time"" - her family is composed of a prisoner and a wage slave.<br /><br />Stanley, however, still believes in human relations and is therefore for most of the film outside of the system of Fordist capitalism. He cares for his father in spite of the fact that it was his father's traveling salesman job that resulted in his illiteracy - he has not yet reduced human relations to a purely instrumental contract, as Iris' brother in law does (suggesting that he ""married the wrong sister""). He does not, as Iris says, conform to the work-eat-sleep routine of everyone else; rather, he uses technology and the techniques of industrial production in an artisanal and creative way, in a sort of Bauhaus ideal. This was the dream of early modernists and 1920's socialists (such as the Bauhaus) - to use technology to provide for all basic needs, allowing for more free time for creative human work and fuller human relations. He is also outside of traditional gender relations. He cooks, he cleans, he cares for his family, and he knows how to iron. Iris, on the other hand, lives in a traditionally male role - she's a factory worker, the mains source of income for her (extended) family, and she brings Stanley into the public realm, traditionally off-limits to women. By teaching him to read and write, she gives him access to the world of knowledge, also traditionally gendered male.<br /><br />Literacy here is used as a metaphor for the (traditionally masculine) public realm and the systems of circulation (monetary, vehicular, cultural) that enable participation in the public realm. Without this access, Stanley is feminized - the jobs open to him are cooking and cleaning. He is excluded from all regular circulations, unable to participate in the monetary (can't open a bank account), in the vehicular (can't get a driver's license, can't ride the bus), and in the social (he asks if he exists if he can't write his name).<br /><br />After learning to read, he grabs books on auto repair, farming, and spirituality (the Bible). The Word of God is therefore relativized, placed on the same value plane as how-to books. In fact, organized religion in general is only very occasionally present - the Bible also appears on a dresser as the camera pans to find Stanley and Iris having sex. It is, however, acknowledged as a moral force - Iris, clearly a character devoted to living a ""good"" life, mentions at the beginning of the film that her rosary was among the objects lost in a purse snatching.<br /><br />Once able to read, he enters the system and lands a managerial position with a health care plan, a car, and a house, taking his place at the head of the family, the breadwinner. Presumably, he's an industrial designer, dreaming up products that will require others enduring the drudgery of the assembly line to produce. This ending, probably the only bit of conventional Hollywood in the film, is so incongruous with all that has come before that I at least wonder if it wasn't forced in by some Studio exec suddenly worried about the lack of a feel-good ending and its potential effect on the bottom line.<br /><br />Now that, according to the pundits, we've comfortably moved on to post-industrial capitalism, the film also has a slightly nostalgic feel, as though we needed the historical distance to really analyze what happened during that period. <br /><br />Nevertheless, it's highly recommended - at least if you want to exercise your brain. Disregard the ending, and it's close to a perfect 10.",1
"`Stanley and Iris' is a heart warming film about two people who find each other and help one another overcome their problems in life. Stanley's life is difficult, because he never learned to read or write. Iris is a widower with two teenage children working in a bakery where she meets Stanley. She decides to teach Stanley how to read at her home in her spare time. Over time they become romantically involved. After Stanley learns to read, he goes off to a good job in Chicago, only to return to Iris and ask her to marry him.<br /><br />It's a really good film without nudity, violence, or profanity, that which is rare in today's films. A good film all round. <br /><br />",1
"I just read the comments of TomReynolds2004 and feel I have to jump in here. I understand he doesn't like the film, but his reasons are not evident. My feeling regarding this film is that it is not afraid to travel the darker roads of loneliness, failure, disappointment and sorrow. Each of these two people, as portrayed, have plenty of reasons to be bitter and angry, yet find tenderness and comfort in each the other. Only great acting could make this work without becoming an emotional quagmire, sentimental and sappy. I really became interested in these people because of their overwhelming humanity given to them by such strong performances. I have every reason to dislike Jane Fonda for her Vietnam era actions, but personal feelings apart, she is fabulous in this role. Robert DeNiro is superb as a man whose intelligence and goodness begins to fail him in a world indifferent to his abilities. This is the first I have seen DeNiro using tenderness rather than toughness to sell a character and I really like it. This film was a big surprise when I first viewed it and I look forward to seeing it again.",1
"'Stanley and Iris' show the triumph of the human spirit. For Stanley, it's the struggle to become literate and realize his potential. For Iris, it's to find the courage to love again after becoming a widow. The beauty of the movie is the dance that Robert DeNiro and Jane Fonda do together, starting and stopping, before each has the skills and courage to completely trust each other and move on. In that sense it very nicely gives us a good view of how life often is, thus being credible. Unlike some other reviewers I found the characters each rendered to be consistent for the whole picture. The supporting cast is also carefully chosen and they add a depth of character that the main characters get added meaning from the supporting performances. All in all an excellent movie. The best thing I take from it is Hope.",1
"This may not be a memorable classic, but it is a touching romance with an important theme that stresses the importance of literacy in modern society and the devastating career and life consequences for any unfortunate individual lacking this vital skill.<br /><br />The story revolves around Iris, a widow who becomes acquainted with a fellow employee at her factory job, an illiterate cafeteria worker named Stanley. Iris discovers that Stanley is unable to read, and after he loses his job, she gives him reading lessons at home in her kitchen. Of course, as you might predict, the two, although initially wary of involvement, develop feelings for each other...<br /><br />Jane Fonda competently plays Iris, a woman with problems of her own, coping with a job lacking prospects, two teenage children (one pregnant), an unemployed sister and her abusive husband. However, Robert DeNiro is of course brilliant in his endearing portrayal of the intelligent and resourceful, but illiterate, Stanley, bringing a dignity to the role that commands respect. They aren't your typical charming young yuppie couple, as generally depicted in on screen romances, but an ordinary working class, middle aged pair with pretty down to earth struggles.<br /><br />I won't give the ending away, but it's a lovely, heartwarming romance and a personal look into the troubling issue of adult illiteracy, albeit from the perspective of a fictional character.",1
"If you fast forward through the horrible singing, you will find a classic fairy tale underneath. Christopher Walken is very humorous and surprisingly good in the role. His trademark style of acting works well for the sly Puss in Boots. The other actors are well for their parts. I did not find any of the acting terribly fake or awkward. The king in particular appears a real dunce though, and I wonder if he is supposed to be. I can not remember the original tale. The special effects are typical of the eighties, but at least they are not overly fake like some of the computer generated fare that we see today. Overall, I recommend this movie for children and adults who are a child at heart.",1
"OK, so the musical pieces were poorly written and generally poorly sung (though Walken and Marner, particularly Walken, sounded pretty good). And so they shattered the fourth wall at the end by having the king and his nobles sing about the ""battle"" with the ogre, and praise the efforts of Puss in Boots when they by rights shouldn't have even known about it.<br /><br />Who cares? It's Christopher Freakin' Walken, doing a movie based on a fairy tale, and he sings and dances. His acting style fits the role very well as the devious, mischievous Puss who seems to get his master into deeper and deeper trouble but in fact has a plan he's thought about seven or eight moves in advance. And if you've ever seen Walken in any of his villainous roles, you *know* the ogre bit the dust HARD at the end when Walken got him into his trap.<br /><br />A fun film, and a must-see for anyone who enjoys the unique style of Christopher Walken.",1
"Although this was obviously a low-budget production, the performances and the songs in this movie are worth seeing. One of Walken's few musical roles to date. (he is a marvelous dancer and singer and he demonstrates his acrobatic skills as well - watch for the cartwheel!) Also starring Jason Connery. A great children's story and very likable characters.",1
"I never saw this when I was a kid, so this was seen with fresh eyes. I had never heard of it and rented it for my 5 year old daughter. Plus, the idea of Christopher Walken singing and dancing made me curious. The special fx are cheesy and the singing and dancing is mediocre. But the story is great. My daughter was entranced. I loved watching Walken in this role thinking about what the future held for him. Very amusing to see him dance! And if the songs weren't great, at least they weren't Disney over-produced saccharine sweetness. The ogre scene in the beginning was a little scary for her, and she was a little nervous when we saw him again at the end, but it was mostly benign. Interestingly, we had recently read ""Puss in Boots"", and I had wondered about the implausibility of the story. But while staying true to almost every aspect, Walken's acting made it believable. Great fun. I'd watch it again with my daughter.",1
"When I was a kid I watched this many times over, and I remember whistling the ""Happy Cat"" song quite often. All the songs are great, and actually memorable, unlike many children's musicals, where the songs are just stuck in for no real reason. The scenes and costumes are lavish, and the acting is very well-done, which isn't surprising, considering the cast. Christopher Walken is very catlike, and doesn't need stupid make-up, or a cat costume for the viewer to believe he's a cat transformed to a human. And Jason Connery's so cute, as the shy and awkward miller's son, Corin, who falls in love with beautiful and the bold Princess Vera. This is a really fun, enjoyable, feature-length movie, where unlike most fairytales, the characters are given personalities. Some of my favourite parts are when Puss makes Corin pretend he's drowning; at the ball when everybody starts dancing a country dance, as it's ""all the rage abroad""; when Walken is in the kitchen, dancing on the table (he's a pretty good dancer, too!); and when Vera tells Corin all the things she used to do when she was young, like pretending she was a miller's daughter. I'd recommend this film to children and parents alike, who love magic and fairytales. And it actually IS a movie you can watch together, as it won't drive adults up the wall.",1
"Emilio Miraglio's ""The Red Queen Kills Seven Times"" (1972) is just about the most perfect example of a giallo that I have ever seen, mixing all the requisite elements into one sinister stew indeed. First of all, and of paramount importance for me, it has a complex, twisty plot that ultimately makes perfect sense, and the killer here does not come completely out of left field at the end. The story, concerning a series of gruesome murders (you already know how many from the film's title, right?) that takes place in seeming fulfillment of an ancient prophecy concerning two sisters, is an involving one, and the murderer, a red-cloaked figure with the insane laugh of a madwoman, is both frightening and memorable. Every great giallo requires some lovely lead actresses, and here we have quite an assortment, headed by the ridiculously beautiful Barbara Bouchet as one of the two sisters and, in one of her earlier roles, Sybil Danning, as a lustful tramp at Barbara's fashion house. Another necessary ingredient of a superior giallo is a catchy, hummable score, and Bruno Nicolai provides one for this film that should stay with you for days. Gorgeous scenery? Check again. Filmed largely in Wurzburg, Germany, the picture is a treat for the eye indeed. OK, OK, but what about those murders? After all, isn't that what gialli are all about? Well, I'm pleased to report that most viewers should be well satisfied with the various knifings, shootings, impalements and other carnage that this film tastefully dishes out...not to mention the crypts, freaky dream sequence, rats and bats (and LOTS of 'em, too!), the drug references, a rape scene, the obligatory red herrings and, in the person of Ugo Pagliai, a hunky leading man for the female viewers. As I said, a perfect giallo. And even better, this DVD is from the fine folks at No Shame, and you know what that means: a gorgeous print and loads of extras, to boot! Thanks, guys!",1
"And here's yet another piece of evidence to claim that we should all worship the Italian giallo and acknowledge it to be the absolute most unique sub genre in horror. Emilio Miraglia's ""The Red Queen Kills Seven Times"" is a totally mesmerizing wholesome of original plotting, stylish production values, enchanting music, great acting talents and inventively gory murder sequences. It's a fabulous giallo (released in the golden year 1972) that belongs in the top-five of every fan of Italian cinema. The storyline doesn't just introduce your average black-gloved & sexually frustrated killer, but blends good old-fashioned revenge motives with the macabre myth of the murderous ""Red Queen"". At young age, their grandfather tells the constantly fighting siblings Kitty and Evelyn about an uncanny lady who, once every 100 years on April 6th, kills seven people of which her sister is the inevitable last victim. Fourteen years later, Kitty has become the successful choreographer of a prominent modeling agency (even sharing her bed with the general manager) when suddenly the killing spree begins. Sister Evelyn would be the obvious culprit, but she moved to the States recently... Or has she? Complex yet compelling and involving red herrings are thrown at you every couple of minutes and the Red Queen character is definitely the most fascinating killer in giallo-history. Her face can never be seen, but she wears a blood red cloak and produces the most ghastly laugh whenever she made a new victim. She's not exactly gentle either, as her victims are barbarically stabbed with a dagger, dragged behind cars and even impaled on fences! That latter one is truly one of the greatest (= most gruesome) acts of violence I've ever seen! What more could you possibly request? Some classy and tasteful nudity, perhaps? The gorgeous female actresses got this more than covered, among them Barbara Bouchet and a young Sybil Danning. Emilio Miraglia isn't the most famous giallo-director, as he only made this one and the equally recommended ""The Night Evelyn Came Out of the Grave"", but his influence and importance should NOT be forgotten.",1
"There are some films that every Horror fan owes himself (or herself) to see, and Emilio Miraglia's ""La Dama Rossa Uccide Sette Volte"" aka. ""The Red Queen Kills Seven Times"" (1972) is definitely one of them. With Gialli and Gothic Tales being my two favorite sub-genres in Horror, I was looking forward to seeing this film for quite a while, and even though my expectations were high, this masterpiece surpassed my greatest hopes. Miraglia's earlier Giallo, ""The Night Evelyn Came Out of the Grave"" (1971) was already a creepy and highly atmospheric film which successfully mixed Giallo with Gothic Horror, but it couldn't possibly compare to this instant personal favorite. ""The Red Queen Kills Seven Times"" is, hands down, one of the most unique and overwhelming Italian Horror films ever made, and no lover of the genre could possibly consider missing it. An incredibly mesmerizing Giallo with strong Gothic elements, ""The Red Queen"" delivers everything one could hope for in either sub-genre: An inventive and incredibly compelling plot, spine-chilling suspense, a sublimely uncanny setting and a genuinely creepy atmosphere, eerily lush colors, stylish murders, a brilliant score, and, not least, a ravishing female cast lead by the stunningly beautiful Barbara Bouchet - this film simply is one of the most outstanding combinations of elegant beauty and pure terror.<br /><br />The film starts out incredibly in a beautiful Gothic castle in Germany. As little girls, Kitty Wildenbrück and her sister Evelyn have been fighting when their grandfather tells them the story behind an incredibly uncanny painting: Legend has it that a fiendish Red Lady is to return to the castle every hundred years and kill seven people. Fourteen years later, Kitty (Barbara Bouchet) has become a successful fashion photographer. Suddenly, people begin to get murdered... Director Miraglia had already proved his incredible talent for style, atmosphere and colorful creepiness with ""The Night Evelyn Came Out of the Grave"" and he makes use of these elements even far more effectively in this gem. ""The Red Queen Kills Seven Times"" is a feast for the eyes indeed, and one of the most overwhelming Italian Horror films both visually and plot-wise. The haunting painting in the Grandfather's castle alone is capable of giving the viewer the goosebumps. The Red Lady (or Red Queen, as she is called in the English title) is arguably the most fiendish figure ever in a Giallo, the spine-chilling laughter that the murders are accompanied by would even be frightening on its own. <br /><br />A sexy female cast is always appreciated, especially in a Giallo, and this one is a prime example for that. The ravishing Barbara Bouchet (one of my favorite actresses) must be one of the most stunningly beautiful ladies ever to appear on screen, and she is a great actress too. Bouchet's presence has graded up many Italian flicks, among other appearances she starred in three of the greatest Cult-masterpieces of Italian 70s cinema within one year (1972): Fernando Di Leo's ""Milano Calibro 9"", Lucio Fulci's Giallo-highlight ""Don't Torture a Duckling"" and this unforgettable gem. Apart from the wonderful Miss Bouchet, the film's gorgeous female cast includes sexy young Sybil Danning, Marina Malfatti (""The Night Evelyn Came Out of the Grave""), and other beauties who are not afraid to bare it for the camera. <br /><br />As the whole film, the murders are stylish and extremely elegant, yet frightening and macabre, and some of them are quite gory. Bruno Nicolai's mesmerizing score is as memorable as it gets, and makes the film's intensely eerie atmosphere even more haunting. The plot is ingeniously convoluted and full of red herrings, the tension-level increses with each passing minute. ""The Red Queen..."" begins creepy and it stays stunning to the last second. Overall, this is one of the films that I cannot find enough words of praise for. ""The Red Queen Kills Seven Times"" is an absolute masterpiece that easily ranks among the finest Gialli ever made, and a top-priority for every fan of Horror and/or Italian cinema to see. 10/10",1
"An old family story told to two young girls by their grandfather is brought to life 16 years later as he foretold.<br /><br />People are getting murdered and blood is being spilled and rats are scampering all over and naked bodies are being enjoyed.<br /><br />Kitty (Barbara Bouchet) is the suspect, but we know she is not the killer. Is it Franziska (Marina Malfatti)? Is it Evelyn back from death for revenge? Is it a plot to steal an inheritance? The color is superb in this thriller from Emilio Miraglia, who only did one other Giallo, as far as I know.<br /><br />The only thing that spoiled the film was the appearance that several frames were cut out. Someone calls the police, and suddenly they are there trying to save Kitty.",1
"Once upon a time in a castle...... Two little girls are playing in the garden's castle. They are sisters. A blonde little girl (Kitty) and a brunette one (Evelyn). Evelyn steals Kitty's doll. Kitty pursues Evelyn. Running through long corridors, they reach the room where their grandfather, sitting on an armchair, reads the newspaper. Kitty complains about Evelyn, while Evelyn is looking interestedly at a picture hanging on the wall. Evelyn begins to say repeatedly: ""I am the red lady and Kitty is the black lady"". Suddenly Evelyn grabs a dagger lying nearby and stabs Kitty's doll and then cuts her (the doll's) head. A fight ensues. And Evelyn almost uses the dagger against Kitty. The grandfather intervenes and the worst is avoided.<br /><br />Later on, their grandfather tells them the legend related to the picture hanging on the wall in front of them, in which a lady dressed in black is stabbing a lady dressed in red:<br /><br />""A long time ago, a red lady and a black lady lived in the same castle. They were sisters and hated each other. One night, for jealousy reasons, the black lady entered the red lady's room and stabbed her seven times. One year later, the red lady left her grave. She killed six innocent people, and her seventh victim was the black lady. Once every hundred years, the events repeat themselves in this castle and a red lady kills six innocent victims before killing the black lady herself.""<br /><br />The grandfather ends his tale by saying that according to the legend, sixteen years from now, the red queen should come again and kill seven times. But he assures them that this is just an old legend.<br /><br />Sixteen years pass.....<br /><br />This is the very beginning of the film. There are many twists and surprises in the film. It's better for you to forget about logic (if you really analyse it, the story doesn't make sense) and just follow the film with its wonderful colors, the gorgeous women, the clothes, the tasteful decor, the lighting effects and the beautiful soundtrack.<br /><br />Enjoy Barbara Bouchet, Sybil Danning, Marina Malfatti, Pia Giancaro, among other goddesses. There's a nude by Sybil Danning lying on a sofa that's something to dream about. And don't forget: The lady in red kills seven times!<br /><br />If you've liked ""La Dama Rossa..."" check out also ""La Notte che Evelyn uscì dalla Tomba"".",1
"Emilio Miraglia's first Giallo feature, The Night Evelyn Came Out of the Grave, was a great combination of Giallo and Gothic horror - and this second film is even better! We've got more of the Giallo side of the equation this time around, although Miraglia doesn't lose the Gothic horror stylings that made the earlier film such a delight. Miraglia puts more emphasis on the finer details of the plot this time around, and as a result it's the typical Giallo labyrinth, with characters all over the place and red herrings being thrown in every few minutes. This is a definite bonus for the film, however, as while it can get a little too confusing at times; there's always enough to hold the audience's interest and Miraglia's storytelling has improved since his earlier movie. The plot opens with a scene that sees two young girls fighting, before their grandfather explains to them the legend behind a rather lurid painting in their castle. The legend revolves around a woman called 'The Red Queen' who, legend has it, returns from the grave every hundred years and kills seven people. A few years later, murders begin to occur...<br /><br />Even though he only made two Giallo's, Miraglia does have his own set of tributes. It's obvious that the colour red is important to him, as it features heavily in both films; and he appears to have something against women called 'Evelyn'. He likes castles, Gothic atmospheres and stylish murders too - which is fine by me! Miraglia may be no Argento when it comes to spilling blood, but he certainly knows how to drop an over the top murder into his film; and here we have delights involving a Volkswagen Beetle, and a death on an iron fence that is one of my all time favourite Giallo death scenes. The female side of the cast is excellent with the stunning Barbara Bouchet and Marina Malfatti heading up an eye-pleasing cast of ladies that aren't afraid to take their clothes off! The score courtesy of Bruno Nicolai is catchy, and even though it doesn't feature much of the psychedelic rock heard in The Night Evelyn Came Out of the Grave; it fits the film well. The ending is something of a turn-off, as although Miraglia revs up the Gothic atmosphere, it comes across as being more than a little bit rushed and the identity of the murderer is too obvious. But even so, this is a delightfully entertaining Giallo and one that I highly recommend to fans of the genre!",1
"This interesting Giallo boosts a typical but still thrilling plot and a really sadistic killer that obviously likes to hunt his victims down before murdering them in gory ways.<br /><br />Directed by Emilio P. Miraglia who, one year earlier, also made the very interesting ""La Notte che Evelyn Usci della Tomba"" (see also my comment on that one), the film starts off a little slow, but all in all, no time is wasted with unnecessary sub plots or sequences.<br /><br />This film is a German-Italian coproduction, but it was released in Germany on video only in a version trimmed by 15 minutes of plot under the stupid title ""Horror House"". At least the murder scenes, which will satisfy every gorehound, are fully intact, and the viewer still gets the killer's motive at the end. But the Italian version containing all the footage is still the one to look for, of course.<br /><br />A convincing Giallo with obligatory twists and red herrings, ""La Dama Rossa Uccide Sette Volte"" is highly recommended to Giallo fans and slightly superior to Miraglia's above mentioned other thriller.",1
"What a fun movie! If you're a Giallo fan, Red Queen Kills 7 Times is a real winner. To begin with, it's hard to go wrong with Barbara Bouchet and Marina Malfatti in the same Giallo. Both are wonderful - especially the wide-eyed innocent Bouchet as the guilt ridden woman fearing for her life. The kill scenes in Red Queen Kills 7 Times are especially nice and feature enough blood to make most fans happy. One of the first murders comes rather unexpectedly and really gets the movie off to a good start. The killer, The Red Queen, is one of the most over-the-top and interesting looking murderers I've seen in an Italian movie. The 70s sets and fashions are wonderful. In fact, all the visuals are interesting with the laughing Red Queen running across the bridge at night being one of my favorite moments in the film. The convoluted plot held my interest throughout. Finally, Bruno Nicolai's score may be the best I've heard from the composer. The main theme is so memorable I haven't been able to get it out of my head for two days.<br /><br />The only two issues I have with Red Queen Kills 7 Times come in the film's finale. First, the person responsible for the murders is far too easy to spot. If you've seen more than a couple Gialli, you won't have any problem determining who is behind the killings. Second, the ending feels a little too rushed and, as a result, is a bit confusing. I'm definitely not one who needs every plot point spelled out to me, but I'll admit to being at a loss to explain it all. A second viewing might just clear this up.",1
